STUB_NAME,STUB_LABEL,YEAR,AGE,ESTIMATE
Total,All persons,2000,All ages,10.4
Total,All persons,2001,All ages,10.7
Total,All persons,2002,All ages,10.9
Total,All persons,2003,All ages,10.8
Total,All persons,2004,All ages,11.0
Total,All persons,2005,All ages,10.9
Total,All persons,2006,All ages,11.0
Total,All persons,2007,All ages,11.3
Total,All persons,2008,All ages,11.6
Total,All persons,2009,All ages,11.8
Total,All persons,2010,All ages,12.1
Total,All persons,2011,All ages,12.3
Total,All persons,2012,All ages,12.6
Total,All persons,2013,All ages,12.6
Total,All persons,2014,All ages,13.0
Total,All persons,2015,All ages,13.3
Total,All persons,2016,All ages,13.5
Total,All persons,2017,All ages,14.0
Total,All persons,2018,All ages,14.2
Sex,Male,2000,All ages,17.7
Sex,Male,2001,All ages,18.2
Sex,Male,2002,All ages,18.5
Sex,Male,2003,All ages,18.1
Sex,Male,2004,All ages,18.1
Sex,Male,2005,All ages,18.1
Sex,Male,2006,All ages,18.1
Sex,Male,2007,All ages,18.5
Sex,Male,2008,All ages,19.0
Sex,Male,2009,All ages,19.2
Sex,Male,2010,All ages,19.8
Sex,Male,2011,All ages,20.0
Sex,Male,2012,All ages,20.4
Sex,Male,2013,All ages,20.3
Sex,Male,2014,All ages,20.7
Sex,Male,2015,All ages,21.1
Sex,Male,2016,All ages,21.4
Sex,Male,2017,All ages,22.4
Sex,Male,2018,All ages,22.8
Sex,Female,2000,All ages,4.0
Sex,Female,2001,All ages,4.1
Sex,Female,2002,All ages,4.2
Sex,Female,2003,All ages,4.2
Sex,Female,2004,All ages,4.5
Sex,Female,2005,All ages,4.4
Sex,Female,2006,All ages,4.5
Sex,Female,2007,All ages,4.6
Sex,Female,2008,All ages,4.8
Sex,Female,2009,All ages,4.9
Sex,Female,2010,All ages,5.0
Sex,Female,2011,All ages,5.2
Sex,Female,2012,All ages,5.4
Sex,Female,2013,All ages,5.5
Sex,Female,2014,All ages,5.8
Sex,Female,2015,All ages,6.0
Sex,Female,2016,All ages,6.0
Sex,Female,2017,All ages,6.1
Sex,Female,2018,All ages,6.2
Sex and race,Male: White,2000,All ages,19.1
Sex and race,Male: White,2001,All ages,19.6
Sex and race,Male: White,2002,All ages,20.1
Sex and race,Male: White,2003,All ages,19.7
Sex and race,Male: White,2004,All ages,19.7
